id,source,translation
17,「もっととってきたほうがいい？」 近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、「恵子！」ととがめるような声で、必死に叫んだ。,"""Czy powinnam przynieść więcej?"" - Matka, która zauważyła spojrzenie na wróbli podążających razem obok nich, nagle się ocknęła i desperackim głosem zawołała: ""Eiko!"""
18,「小鳥さんはね、お墓をつくって埋めてあげよう。,Zbuduję dla Ciebie mały grób i Cię z nim pochowam.
19,ほら、皆も泣いてるよ。,"Patrz, wszyscy też płaczą."
20,お友達が死んじゃって寂しいね。,"Smutno jest, gdy przyjaciel umrze."
21,ね、かわいそうでしょう？」,"Wiesz, to naprawdę przykre, prawda?"
22,「なんで？　せっかく死んでるのに」 私の疑問に、母は絶句した。,"""Dlaczego? Skoro już umarłam"" - Moje pytanie zadziwiło matkę."
23,缶コーヒーと煙草とアメリカンドックを手早くＳサイズの袋に入れる。,"Szybko umieściłem puszki kawy, papierosy i hot doga w małej torbie."
24,その間、ポケットの中の小銭を鳴らしていた男性が、ふと思いついたように胸ポケットに手を入れる。,"Mężczyzna, który cały czas szeleścił drobnymi monetami w kieszeni, nagle wpakował rękę do kieszeni na piersi."
25,その仕草から、電子マネーで支払をするのだなと咄嗟に判断する。,"Z jego ruchów szybko wnioskuję, że płaci kartą."
26,「いらっしゃいませ、おはようございます！」 軽い会釈をして、男性客が差し出した缶コーヒーを受け取る。,"""Witamy, dzień dobry!"" Powiedział, skłonił się i przyjął puszkę kawy od mężczyzny."
27,「あー、あと煙草の５番を一つ」 「かしこまりました」 すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"""Okej, jeszcze jedną paczkę papierosów Marlboro Light Menthol z numerem 5."" ""Rozumiem."" Szybko wyjmowałem paczkę i skanowałem ją na kasie."
28,「年齢確認のタッチをお願いします」,"""Proszę o potwierdzenie wieku przez dotyk."""
29,画面をタッチしながら、男性の目線がファーストフードが並んだショーケースにすっと移ったのを見て、指の動きを止める。,"Zatrzymała ruch palcem na widok, jak mężczyzna przesunął swój wzrok po szybie z wystawą fast foodów."
30,「何かおとりしますか？」と声をかけてもいいが、客が買うかどうか悩んでいるように見えるときは、一歩引いて待つことにしている。,"Możesz zaoferować coś konkretnego?, ale jeśli klient wydaje się rozważać czy kupić, w takim przypadku czekasz trochę dalej."
31,チャリ、という微かな小銭の音に反応して振り向き、レジのほうへと視線をやる。,Obrócił się na dźwięk delikatnego brzęku monet i spojrzał w stronę kasy.
32,掌やポケットの中で小銭を鳴らしている人は、煙草か新聞をさっと買って帰ろうとしている人が多いので、お金の音には敏感だ。,"Osoby, które brzęczą drobnymi w dłoniach lub kieszeniach, najczęściej chcą tylko szybko kupić papierosy albo gazetę i wrócić do domu, więc są wyczulone na dźwięk pieniędzy."
33,案の定、缶コーヒーを片手に持ち、もう片方の手をポケットに突っ込んだままレジに近付いている男性がいた。,"Jak można było się spodziewać, był tam mężczyzna podchodzący do kasy z puszczonym jednym rękawem w kieszeni i drugą trzymającą puszkę kawy."
34,素早く店内を移動してレジカウンターの中に身体をすべりこませ、客を待たせないように中に立って待機する。,"Szybko przesunąłem się po sklepie i wślizgnąłem się za ladę, stojąc tam w gotowości, aby nie trzymać klientów czekającymi."
35,コンビニエンスストアは、音で満ちている。,Sklep convenience store jest pełen dźwięków.
36,客が入ってくるチャイムの音に、店内を流れる有線放送で新商品を宣伝するアイドルの声。,"W sklepie przy dźwięku dzwonka, odtwarzającego reklamy nowych produktów przez głośniki, można usłyszeć głos idolki."
37,店員の掛け声に、バーコードをスキャンする音。,Dźwięk skanowania kodów kreskowych odzywający się na polecenie sprzedawcy.
38,かごに物を入れる音、パンの袋が握られる音に、店内を歩き回るヒールの音。,"Słychać było dźwięk wkładania przedmiotów do koszyka, szmer sklepy z chlebem i odgłos kroków na obcasach po sklepie."
39,全てが混ざり合い、「コンビニの音」になって、私の鼓膜にずっと触れている。,"Wszystko się mieszało i stawało się ""dźwiękiem sklepu"", cały czas dotykając mojej błony bębenkowej."
40,ミホとサツキは地元で頻繁に会っているせいか、そっくりな表情と喋り方をしている。,"Miho i Satsuki często się spotykają w lokalnej społeczności, dlatego mają takie same wyraz twarzy i sposób mówienia."
41,特にお菓子の食べ方が似ていて、二人ともネイルを施した手でクッキーを小さく割りながら口に運んでいる。,"Szczególnie sposób jedzenia słodyczy jest podobny - oboje mają paznokcie pomalowane i dzielą się małymi kawałkami ciastka, wkładając je do ust."
42,前からそうだったろうか、と思いだそうとするが、記憶が曖昧だ。,"Próbuję sobie przypomnieć, czy tak było od początku, ale moje wspomnienia są mgliste."
43,前に会ったときの二人の小さな癖や仕草は、もうどこかへ流れ出て行ってしまったのかもしれないとも思う。,"Może też być, że małe nawyki i gesty, które mieliśmy przy spotkaniu poprzednim, gdzieś już zniknęły."
