id,source,translation
17,"Да, после войны всем, всем вдруг отчаянно захотелось почитать.","Tak, po wojnie każdy nagle desperacko pragnął czytać."
18,"Руки взломщиков потянулись к книгохранилищам, а гурманы и золотая молодежь в первые подпольные читальни.","Ręce włamywaczy sięgnęły po biblioteki, a smakosze i złota młodzież do pierwszych podziemnych czytelni."
19,Потом туда хлынули и обыватели.,Potem napłynęli tam również obywatele.
20,Это были золотые времена.,To były złote czasy.
21,"Те, кто оказались тогда в нужном месте, срубили бабла по полной: второсортный повар, взятый из уличной забегаловки, за пару месяцев делал себе состояние.","Ci, którzy wtedy znaleźli się we właściwym miejscu, zarobili pieniądze na pełnej skalii: drugorzędny kucharz zatrudniony z ulicznej gospodyni, w ciągu kilku miesięcy zdobył fortunę."
22,"Мда, родись я лет на пять пораньше.","Och, gdybym się urodził pięć lat wcześniej."
23,В те сумасшедшие годы завороженный процессом народ не обращал внимание на качество.,W tych szalonych latach zauroczeni procesem ludzie nie zwracali uwagi na jakość.
24,"Читали тогда, что называется, ""по диагонали"": дым, копоть, воспарения.","Czytali wtedy, jak to się mówi, ""po skosie"": dym, sadza, unoszące się zapachy."
25,"О качестве еды и говорить нечего: богатые дурачки, в одночасье ставшие гурманами, глотали сухой стейк из солнечника на ""Старике и море"", спаленную аррачеру на Дос-Пассосе и недожаренную свинину на ""Швейке"".","O jakości jedzenia nie ma co mówić: bogaccy głupcy, którzy nagle stali się smakoszami, połykali suchy kotlet z słonecznika w ""Starym i morzu"", przypalony arrachera w Dos Passeos i niedogotowany wieprzowinę na ""Szkodniku""."
26,За эти девять лет именно русская литература принесла мне весьма приличный доход.,Przez te dziewięć lat to właśnie literatura rosyjska przyniosła mi całkiem przyzwoity dochód.
27,"Благодаря ее пылающим страницам я прошел суровый путь от рядового повара в подпольных забегаловках Гонконга до шефа-по-вызову с тремя звездами и могу позволить теперь себе жить гастролями, кочуя по миру.",Dzięki jej płomi
28,"Ну и конечно Опыт, Опыт, ""сын ошибок трудных"".","Oczywiście, doświadczenie, doświadczenie, ""syn trudnych błędów""."
29,Да и мать его Случайность.,I jego matka to Przypadek.
30,И отец Интуиция.,A ojciec Intuicja.
31,"Книги как лошади дикие и своенравные, если не найти к ним подхода.","Książki są jak dzikie i niezdyscyplinowane konie, jeśli nie podejdziesz do nich właściwie."
32,Я обхожусь без стека и шпор.,Radzę sobie bez okularów i ostrogi.
33,"Ласка, только ласка.","Ciągłe pieszczoty, tylko pieszczoty."
34,"Книги для меня не просто дрова, как их называют в нашем поварском подпольном сообществе.","Książki dla mnie nie są po prostu drewnem, jak je nazywają w naszym podziemnym środowisku kucharskim."
35,"Все-таки книга это целый мир, хоть и ушедший навсегда.","Książka to jednak cały świat, choć już na zawsze odeszły."
36,В этом смысле я романтик.,W tym sensie jestem romantykiem.
37,"Я сын гуманитария, внук стоматолога, правнук адвоката, праправнук раввина.","Jestem synem humanisty, wnukiem stomatologa, prawnukiem adwokata, praprawnukiem rabina."
38,"И я знаю точно если ты любишь книгу по-настоящему, она отдаст тебе все свое тепло.","I wiem na pewno, że jeśli naprawdę kochasz książkę, odda ci całe swoje ciepło."
39,"А я люблю русскую классику, хотя не прочел и до середины ни одного русского романа.","A ja kocham rosyjską klasykę, chociaż nie przeczytałem jeszcze nawet do połowy żadnej rosyjskiej powieści."
40,"И я не буду жарить стейк на писателе второго сорта, вроде Горького.","I nie będę smażyć steka z drugorzędnych pisarzy, jak na przykład Gorkiego."
41,"Всю классику я и моя умная блоха знаем наизусть: сюжет, биография автора со всеми подробностями, дата выхода бумажного полена.","Całą klasykę znamy na pamięć ja i mój inteligentny pchli żuk: fabułę, biografię autora ze wszystkimi szczegółami, datę wydania kartki papieru."
42,"Это необходимо знать каждому повару, даже если он вообще не умеет читать книги.","To potrzebne jest każdemu kucharzowi, nawet jeśli w ogóle nie umie czytać książek."
43,"А таких людей у нас, к сожалению, все больше.","I takich ludzi u nas, niestety, jest coraz więcej."
44,"Хотя, безусловно, чтобы хорошо прочесть книгу, повару необязательно ее прочесть.","Choć oczywiście, aby dobrze przeczytać książkę, kucharzowi nie jest konieczne jej przeczytanie."
45,Парадокс XXI века.,Paradoks XXI wieku.
46,"""O tempora, o mores!"" как говаривал мой покойный профессор-отец.","""O tempora, o mores!"" jak mawiał mój zmarły profesor-ojciec."
47,"А я мальчиком думал, что он говорит о ""темпуре"", которую готовили в одной японской харчевне на соседней улице.","Ja natomiast jako chłopiec myślałem, że on mówi o ""tempurze"", którą przygotowywali w japońskiej restauracji na sąsiedniej ulicy."
48,Во мне уже тогда проснулась душа повара.,Już wtedy obudziła się we mnie dusza kucharza.
49,"С тех пор как человечество перестало печатать книги и навсегда сделало лучшие из них музейными экспонатами, book'n'grill появился на свет.","Od czasu, gdy ludzkość przestała drukować książki i na zawsze uczyniła najlepsze z nich eksponatami muzealnymi, powstało book'n'grill."
50,Люди всегда тянутся к запретному плоду.,Ludzie zawsze ciągną ku zakazanemu owocowi.
51,"Девяносто процентов отпечатанных человечеством книг были сданы в утиль или просто выброшены на помойки, чтобы не занимали пространство в квартирах.","Dziewięćdziesiąt procent książek, które zostały wydrukowane przez ludzkość, zostało zutylizowanych lub po prostu wyrzuconych na śmieci, aby nie zajmowały miejsca w mieszkaniach."
52,"А вот оставшиеся десять, осевшие в музеях и библиотеках, вдохновили лучшую часть человечества на удивительную страсть.","A te dziesięć pozostałych, osiadłych w muzeach i bibliotekach, zainspirowało najlepszą część ludzkości do niezwykłej pasji."
53,"Первый стейк был зажарен двенадцать лет назад в Лондоне на пламени первого издания ""Поминок по Финнегану"", выкраденного из Британского музея.","Pierwszy stek został upieczony dwanaście lat temu w Londynie na płomieniu pierwszego wydania ""Odpraw jak Finnegana"" skradzionego z Muzeum Brytyjskiego."
54,"Его приготовили и съели четверо великих мужей психоаналитик, флорист, биржевой брокер и контрфаготист.","Gotowe było czworo wielkich mężczyzn - psychoanalityk, florysta, makler giełdowy i fagocista - przygotowało go i zjadło."
55,Так родился book'n'grill.,Tak powstało book'n'grill.
56,"Это положило начало великой страсти, ставшей за эти стремительные годы великой традицией.","To dało początek wielkiej pasji, która stała się w tych gwałtownych latach wielkim tradycją."
57,10 000 фунтов за вечер неплохой навар.,10 000 funtów za wieczór to niezły zysk.
58,Мой прайс уже обогнал стоимость книги.,Moja cena już przewyższyła koszt książki.
59,Это знак качества.,To znak jakości.
60,"А когда растет прайс, вместе с ним растет и чувство глубокого удовлетворения.","A gdy rośnie cennik, wraz z nim rośnie poczucie głębokiej satysfakcji."
61,"Статус, статус book'n'grill chef.","Status, status book'n'grill chef."
62,"В общем, я доволен.",W sumie jestem zadowolony.
63,"И профессией, и судьбой.","I zawodem, i losu."
64,Хотя не все в моей жизни было гладко.,Chociaż nie wszystko w moim życiu było gładkie.
65,Но шрамы для нашего брата book'n'griller привычное дело.,Ale blizny to dla naszego brata book'n'grillera zwykła sprawa.
66,Все прошло хорошо.,Wszystko poszło dobrze.
67,"Книга прочитана идеально не быстро и не медленно, минимум дыма.","Książka została przeczytana idealnie, ani za szybko, ani za wolno, bez zbędnego zachodzenia w oko."
68,Классика.,Klasyczny.
69,Я был в форме.,Byłem w formie.
70,"Умение повара листать горящие страницы, чтобы поддерживать равномерный огонь одна из важнейших составляющих нашей профессии.","Umiejętność kucharza przekładania palących się stron, aby utrzymać równomierne ognisko, jest jednym z najważniejszych elementów naszego zawodu."
71,"Мы переворачиваем их специальной металлической полоской в форме меча, называемой в нашей среде ""эскалибур"".","Obracamy je za pomocą specjalnej metalowej taśmy w kształcie miecza, którą w naszym środowisku nazywamy ""Excalibur""."
72,"У каждого повара эскалибур свой, сделанный на заказ.",Każdy kucharz ma swoją własną zaprojektowaną pod siebie ekaliburnę.
73,"После последнего обыска в Пало-Альто я пользуюсь новым титановым, с костяной ручкой.",Po ostatnim przeszukaniu w Palo Alto używam nowego zestawu tytanowego z kościenną rękojeścią.
74,"Риск возрастает, когда дамы и господа сидят вокруг жаровни и у повара нет тыла.","Ryzyko wzrasta, gdy panie i panowie siedzą wokół paleniska, a kucharz nie ma wsparcia."
75,"Так на то я и шеф-гастролер, а не рядовой book'n'griller.","Tak właśnie jestem szefem trupy, a nie zwykłym book'n'grillerem."
76,"Когда жаровня окружена со всех сторон клиентами с пустыми тарелками, я вспоминаю того легендарного фокусника, что некогда ходил по городам Европы, поражая публику простым фокусом с протыканием пальца гвоздем.","Kiedy ruszt jest otoczony klientami z pustymi talerzami z każdej strony, przypominam sobie tego legendarnego iluzjonistę, który kiedyś podróżował po miastach Europy, zadziwiając publiczność prostym sztuczką wbijania gwoździa palcem."
77,"Элементарный трюк, целиком зависящий от угла зрения простаков.","Elementarna sztuczka, całkowicie zależna od punktu widzenia prostaków."
78,"Но однажды подвыпившие простолюдины поймали ""волшебника"" где-то на площади, громогласно требуя фокуса.","Ale pewnego razu pijani prostacy schwytali ""magika"" gdzieś na placu, głośno domagając się sztuczki."
79,Гвоздь ему выдали.,Wbito mu gwóźdź.
80,Его обступили со всех сторон.,Został otoczony ze wszystkich stron.
81,И пришлось чародею по-настоящему проткнуть себе палец.,I czarownik musiał wbić sobie palec na poważnie.
82,А гримасу боли народ принял за улыбку.,A wykrzywienie bólu ludzie wzięli za uśmiech.
83,Вот тогда он и получил настоящее признание.,Wtedy właśnie zdobył prawdziwe uznanie.
84,"Но нам, увы, и протыкать нечего.","Niestety, nie mamy czym przebić."
85,Вся моя необычная профессия держится только на чистом мастерстве.,Całe moje nietypowe zajęcie opiera się tylko na czystym rzemiośle.
86,"Хотя только book'n'griller знает, сколько в его работе подводных камней.","Tylko book'n'griller wie, ile w jego pracy jest podstępów."
87,Это наша внутренняя кухня.,To nasza wewnętrzna kuchnia.
88,"Романы, как известно, печатались на разной бумаге.","Romansy, jak wiadomo, były drukowane na różnym papierze."
89,И гореть она может по-разному.,I może się palić na różne sposoby.
90,"Возможны как тление, так и вспышки, с последующим воспарением листов и прилипанием их к мясу или кружением над головами клиентов.","Możliwe są zarówno tlenie, jak i błyski, z następowym uniesieniem liści i przyleganiem ich do mięsa lub krążeniem nad głowami klientów."
91,"В наших жаровнях есть специальные воздушные насосы, способные остановить воспарение горящей и отгоревшей бумаги.","W naszych piecach są specjalne pompy powietrzne, które mogą zatrzymać unoszenie się palącego się i spalonego papieru."
92,Но ими пользуются в основном начинающие.,Ale z nich korzystają głównie początkujący.
93,Настоящий мастер должен работать руками и головой.,Prawdziwy mistrz musi pracować rękami i głową.
94,"Эти насосы умаляют не только пламя, но и зрелище.","Te pompy zmniejszają nie tylko płomień, ale także widok."
95,Вместе с воздухом они отсасывают презентабельность.,Razem z powietrzem wyparowuje z nich reprezentacyjność.
96,А книга должна быть яркой: пылать и поражать.,A książka powinna być jaskrawa: płonąć i zadziwiać.
97,Опытный мастер обязан просчитать весь процесс как шахматную партию и хладнокровно балансировать над пропастью.,Doświadczony mistrz musi przeliczyć cały proces jak partię szachów i zimno zachowywać równowagę nad przepaścią.
98,"Переплет, каптал, коленкор, картон, марлевые клапаны, пеньковый шнур, закладки, казеиновый клей, засушенные цветочки, книжные вши, клопы или тараканы в корешке все это скрытые угрозы.","Oprawa, kapitał, klamki, tektura, płócienne chwyty, sznurek lniany, zakładki, klej kazeinowy, wysuszone kwiatki, książkowe wszy, pluskwy lub karaczany w okładce - to wszystko ukryte zagrożenia."
99,Их необходимо учитывать.,Należy je uwzględnić.
100,"Однажды у одного повара вспыхнула микропленка, вделанная в корешок в середине XX века.",Pewnego dnia u jednego kucharza zapalił się mikrofilm osadzony w okładce z połowy XX wieku.
101,"У другого были проблемы с антроподермическим переплетом ""120 дней Содома"".","U drugiego były problemy z antropodermicznym pięciornikiem ""120 dni Sodomy""."
102,"Все, все возможно.","Wszystko, wszystko jest możliwe."
103,"Малейшая оплошность, неуверенность или самоуверенность и катастрофа неизбежна.","Najmniejsza pomyłka, niepewność lub pewność siebie i katastrofa są nieuniknione."
104,Моя профессия сопряжена с риском.,Mój zawód wiąże się z ryzykiem.
105,"В лучшем случае это потеря денег, вино в лицо, удары дорогой посудой по голове.","W najlepszym przypadku to strata pieniędzy, wino w twarz, uderzenia drogocennym naczyniem po głowie."
106,"В худшем мягкая, а зачастую и твердая пуля.","W najgorszym przypadku miękka, a często także twarda kula."
107,Теперь уголовники все чаще заказывают букинистические пиры.,Teraz przestępcy coraz częściej zamawiają uczty antykwaryczne.
108,А после войны Европа кишит оружием.,A po wojnie Europa roi się od broni.
109,Сегодняшний немец эхо золотой довоенной эпохи.,Dzisiejszy Niemiec to echa złotej przedwojennej epoki.
