id,source,translation
59,"Если не ложь, что лицо есть зеркало души, то в первый день свидания с господином с кокардой я мог бы дать честное слово, что он не умеет лгать.",「もし顔が魂の鏡なら、彼との最初のデートの日に、私は正直な言葉を与えることができます。彼は嘘をつくことができない」と思った。
60,Я мог бы даже держать пари.,私は賭けてもいいと思います。
61,Проиграл бы я пари или нет читатель увидит далее.,読者は後で、私が賭けを負けたかどうかを見るだろう。
62,"Он, как я уже сказал, высок, широкоплеч и плотен, как хорошая рабочая лошадь.",彼は、私がすでに述べたように、背が高くて肩幅も広く、優れた労働力を持つ馬のような体格だ。
63,Всё его тело дышит здоровьем и силой.,彼の全身は健康と力で満ちている。
64,"Лицо розовое, руки велики, грудь широкая, мускулистая, волосы густы, как у здорового мальчика.",顔はピンク色で、手は大きく、胸は広くて筋肉質であり、髪は健康的な少年のように濃密だった。
65,Ему под сорок.,彼は40歳前後です。
66,"Одет он со вкусом и по последней моде в новенький, недавно сшитый триковый костюм.",彼は洗練されたセンスで、最新の流行に合わせて新しい、最近作られたトリコットスーツを着ていた。
67,"На груди большая золотая цепь с брелоками, на мизинце мелькает крошечными яркими звездочками бриллиантовый перстень.",胸には、大きな金のチェーンがついたキーホルダーがあり、小指には小さな明るい星のようなダイヤモンドのリングが光っていました。
68,"Но, что главнее всего и что так немаловажно для всякого мало-мальски порядочного героя романа или повести, он чрезвычайно красив.",だが、何よりも大切なことで、そして小さな小説や物語のどんな立派な主人公にとっても非常に重要なことは、彼は非常に美しいのである。
69,Я не женщина и не художник.,私は女性でも芸術家でもありません。
70,"Мало я смыслю в мужской красоте, но господин с кокардой своею наружностью произвел на меня впечатление.",男性の美にはあまり詳しくありませんが、その方の肩章付きの容姿は私に印象を与えました。
71,Его большое мускулистое лицо осталось навсегда в моей памяти.,彼の大きな筋肉ムキピカ顔は私の記憶に永遠に残った。
72,"На этом лице вы увидите настоящий греческий нос с горбинкой, тонкие губы и хорошие голубые глаза, в которых светятся доброта и еще что-то, чему трудно подобрать подходящее название.",この顔には、本格的なギリシャ人の鼻が曲り、細い唇と素晴らしいブルーの目があります。その目には優しさと何か他のものが輝いていますが、ふさわしい言葉を見つけるのは難しいです。
73,"Это «что-то» можно подметить в глазах маленьких животных, когда они тоскуют или когда им больно.",「何か」というものは、小さい動物の目にもうかがえる。彼らが寂しく感じたり、痛みを感じたりするときに。
74,"Что-то умоляющее, детское, безропотно терпящее.",何か嘆願的で、子供っぽく、無抵抗に耐えている。
75,У хитрых и очень умных людей не бывает таких глаз.,知恵のある、ずるい人々にはそのような目がない。
76,"Я вздохнул, положил перо и принялся ждать господина с кокардой.",ため息をついて、私はペンを置き、かんざしの付いた紳士を待ち始めました。
77,"Начинающие писатели и вообще люди, не посвященные в редакционные тайны, приходящие при слове «редакция» в священный трепет, заставляют ждать себя немалое время.",「編集部」という言葉を聞くと神聖な敬意をもって近づいてくる、まだ作家になりたての人々や一般の人々には待つ時間がかかることがある。
78,"Они, после редакторского «проси», долго кашляют, долго сморкаются, медленно отворяют дверь, еще медленнее входят и этим отнимают немало времени.",彼らは、編集者の「お願い」のあと、長く咳き込んだり鼻をかんだりし、ゆっくりとドアを開けたり、さらにゆっくりと入ってこれにかなり時間を取られる。
79,Господин же с кокардой не заставил ждать себя.,はたして、コカルデをつけた紳士は自分を待たせることはなかった。
80,"Не успела за Андреем затвориться дверь, как я увидел в своем кабинете высокого широкоплечего мужчину, державшего в одной руке бумажный сверток, а в другой фуражку с кокардой.",アンドレイの後ろのドアが閉まると、私は自分のオフィスに背広姿で高身長で肩幅の広い男性が立っているのを見た。彼は片手に紙で包まれたものを持ち、もう一方には羽根飾り付き帽子を持っていた。
81,"Человек, так добивавшийся свидания со мной, играет в моей повести очень видную роль,",私とのデートを求めていたこの人が、私の物語の中で非常に重要な役割を果たしています。
82,Необходимо описать его наружность.,彼の外見を記述する必要があります。
83,"В один из апрельских полудней 1880 года в мой кабинет вошел сторож Андрей и таинственно доложил мне, что в редакцию явился какой-то господин и убедительно просит свидания с редактором.",1880年の4月のある昼、私のオフィスに番人のアンドレイが入ってきて神秘的に私に告げると、編集部に何者かの紳士が現れて編集長と会うよう切望していると懇願しました。
84,"Должно быть, чиновник-с, добавил Андрей, с кокардой.",「あるいは、役人さんかな」と、アンドレイは帽子の花につけられたパッチをつけて答えた。
85,"Попроси его прийти в другое время, сказал я.",別の時間に彼に来るよう頼んでください、と私は言った。
86,Сегодня я занят.,今日は忙しい。
87,"Скажи, что редактор принимает только по субботам.",土曜日のみ編集者が受け付けると言ってください。
88,"Он и третьего дня приходил, вас спрашивал.",3日目も訪ねてきて、あなたに質問していました。
89,"Говорит, что дело большое.",「大きな事件だと言っている」という。
90,Просит и чуть не плачет.,頼んで泣きそうだ。
91,"В субботу, говорит, ему несвободно.",土曜日は忙しいそうです。
92,Прикажете принять?,受け入れてもらえますか？
