id,source,translation,n2m
13,"""Doch"", sagte ich, es könne ja auch ein verwachsenes Rind gewesen sein, eine falsch zusammengesetzte Giraffe, eine Laune der Natur, und die Streifen und das Rostrote, das könne man doch alles nicht so genau erkennen in der Nacht, da sei schließlich alles sehr verschwommen.","""Jednak,"" powiedziałem, mogło być to jakieś zdeformowane bydlę, niepoprawnie poskładana żyrafa czy kaprys natury. Te paski i rude plamy też przecież w nocy trudno zauważyć ze szczegółami wszystko jest wtedy raczej niewyraźne"".",1-2
14,"""Das ist doch Quatsch"", sagte Selma und rieb sich die Stirn, ""das ist doch leider Quatsch, Luise"". Sie legte eine Scheibe Käse auf das Brot, klappte es zusammen und legte es in meine Butterbrotdose.","""Głupoty opowiadasz"" odparła Selma przeczesując dłonią czoło. ""To są niestety bzdury Luise""dodała podczas kładzenia plastra sera na chleb, po czym go składając i wkładając do mojego pojemnika na kanapki .",2-2
15,"""Weißt du, wann genau du das geträumt hast""?","""Wiesz może kiedy dokładnie miałaś ten sen?""",1-1
16,"""Gegen drei Uhr"", sagte Selma. Sie war hochgeschreckt, nachdem das Bild vom Okapi sich zurückgezogen hatte, aufrecht im Bett sitzend war sie aufgewacht und hatte auf ihr Nachthemd gestarrt, in dem sie eben noch im Traum auf der Uhlheck gestanden hatte, und dann auf den Wecker.",Zapytałem.,2-1
17,"Drei Uhr. ""Wir sollten das wahrscheinlich nicht so ernst nehmen"", sagte Selma, aber sie sagte es wie ein Fernsehkommissar, der ein anonymes Schreiben nicht so ernst nimmt.","""Koło trzeciej""odpowiedziała.",2-1
18,"Die Zugfahrt dauerte fünfzehn Minuten, einen Zwischenhalt gab es nicht.","Podróż pociągiem trwała piętnaście minut, nie było przystanków po drodze.",1-1
19,"Seit unserer ersten Zugfahrt spielten wir immer dasselbe: Wir stellten uns mit dem Rücken zu den Fenstern an die gegenüberliegenden Zugtüren, Martin machte die Augen zu, ich sah aus dem Fenster der Zugtür, die Martin im Rücken hatte.","Od naszej pierwszej podróży pociągiem zawsze robiliśmy to samo: stawaliśmy plecami do okien przy przeciwnych drzwiach wagonu, Martin zamykał oczy, a ja patrzyłem przez okno drzwi, które Martin miał za sobą.",1-1
20,"In der ersten Klasse hatte ich Martin aufgezählt, was ich während der Fahrt sah, und Martin versuchte, alles auswendig zu lernen.","W pierwszej klasie opisywałem Martinowi, co widziałem podczas podróży, a on starał się zapamiętać wszystko na pamięć.",1-1
21,"Das gelang sehr gut, sodass ich im zweiten Schuljahr nichts mehr aufzählte und Martin, mit dem Rücken zum Fenster und geschlossenen Augen, fast alles aufsagen konnte, was ich durch das beschlagene Zugfenster gerade sah: ""Drahtfabrik"", sagte er, genau in dem Moment, als wir an der Drahtfabrik vorbeifuhren. ""Jetzt Feld. Weide.","Szło mu bardzo dobrze, do tego stopnia że w drugim roku szkolnym już niczego nie wyliczałem i Martin mógł prawie wszystko nazwać ze swoimi zamkniętymi oczyma i plecami do okna tylko na podstawie tego co widziałem przez parujące okno wagonu: ""Fabryka drutu"", powiedział dokładnie w momencie kiedy przejeżdżaliśmy obok fabryki drutu; ""Teraz pole. Pastwisko.",2-1
22,Das Gehöft vom verrückten Hassel.,Gospodarstwo szalonego Hassel'a.,1-1
23,Wiese. Wald.,"Łąka . Las , Las .",2-2
24,Wald. Hochsitz eins.,Postój jedynka .,1-1
25,"Feld. Wald. Wiese. Weide, Weide. Reifenfabrik.",Pole.,3-1
26,"Dorf. Weide. Feld. Hochsitz zwei. Waldstück. Hof. Feld. Wald. Hochsitz drei. Dorf.""","Las łąka pastwisko pastwisko fabryka opon wieś pastwisko pole postój dwójka las gospodarstwo , pole , las postój trójka wieś.",4-1
27,"Bauer Häubel war der festen Überzeugung, dass der Tod höflich sein würde, so wie Bauer Häubel selbst es sein Leben lang gewesen war.","Rolnik Häubel był głęboko przekonany, że śmierć będzie grzeczna, tak jak on sam przez całe swoje życie.",1-1
28,"Er war sicher, dass der Tod ihm das Leben nicht entreißen, sondern behutsam aus der Hand nehmen würde.","Był pewien, że śmierć nie wyrwie mu życia z ręki, ale weźmie je ostrożnie.",1-1
29,"Er stellte sich vor, wie der Tod vorsichtig anklopfte, die Tür nur einen Spalt öffnete und ""Darf ich""? fragte, was Bauer Häubel natürlich bejahen würde.","Wyobrażał sobie, jak śmierć delikatnie puka w drzwi, otwiera je tylko na uchyl i pyta: ""Czy mogę?"" Na co oczywiście rolnik Häubel odpowiedziałby twierdząco.",1-2
30,"""Selbstverständlich"", würde Bauer Häubel sagen, ""treten Sie doch ein"", und der Tod würde eintreten.","""Oczywiście"", powiedziałby rolnik Häubel, ""proszę wejść"", a śmierć by weszła.",1-1
31,"Er würde sich an Bauer Häubels Bett stellen und fragen: ""Passt es Ihnen jetzt?","Stanęłaby obok łóżka rolnika Häubla i zapytała: ""Czy pasuje Panu teraz?",1-1
32,"Ich kann sonst auch zu einem späteren Zeitpunkt vorbeikommen"".","Mogę też przyjść później"".",1-1
33,"Bauer Häubel würde sich aufrichten und ""Nein, nein, es passt mir gerade sehr gut"" sagen, ""lassen Sie es uns besser nicht noch einmal verschieben, wer weiß, wann Sie es wieder einrichten können"", und der Tod würde sich auf den schon bereitgestellten Stuhl am Kopfende setzen.","Rolnik Häubel podniósłby się i powiedział: ""Nie, nie, teraz mi bardzo pasuje"" , ""lepiej już nie odkładajmy tego na później; kto wie kiedy znów znajdzie Pani czas"", a śmierć usiadłaby na już przygotowanym krześle obok łóżka.",1-1
34,"Er würde sich im Vorhinein für die Kälte seiner Hände entschuldigen, die, das wusste Bauer Häubel, ihm überhaupt nichts ausmachen würde, und dann eine Hand auf Bauer Häubels Augen legen.",Już wcześniej przepraszałaby za zimno swoich dłoni których dotyk to wiedział rolnik Häubel mu absolutnie nie przeszkadzałbya potem położyły jedną dłoń na jego oczach.,1-1
35,Das stimmte.,To się zgadzało.,1-1
36,"Der Hund war schneematschfarben, er war verwaschen grau und zottelig wie ein ausschließlicher Irischer Wolfhund ohne etwas anderes drin.","Pies miał kolor brudnego śniegu, był szary i kudłaty niczym czystej rasy irlandzki wilk, bez domieszki innej rasy.",1-1
37,"Sein Körper war noch klein, aber seine Pfoten waren groß wie Bärentatzen, und wir wussten alle, was das bedeutete.","Jego ciało było jeszcze małe, ale łapy miał wielkie jak łapy niedźwiedzia, a wszyscy wiedzieliśmy, co to oznacza.",1-1
38,Selma stand immer noch erhoben vor der Küchenbank.,Selma stała cały czas wysoko podnosząc się przed blatem kuchennym.,1-1
39,Sie schaute lange auf den Hund.,Długo patrzyła na psa.,1-1
40,"Dann sah sie meinen Vater an, als sei er ein Geschenkideengeschäft.","Potem spojrzała na mojego ojca, jakby był sklepem z pomysłami na prezenty.",1-1
41,"""Klappe halten"", sagte der Optiker noch einmal lauter und ging schneller, ""Selma findet nur sehr selten etwas bedrohlich oder unansehnlich"".","""Zamknijcie się"" powiedział głośniej optyk i zaczął szybciej chodzić ""Selma rzadko kiedy uważa coś za niebezpieczne czy nieestetyczne"".",1-1
42,"Damit hatte er völlig recht, und damit hatte er leider mehr gesagt, als er den Stimmen eigentlich hätte antworten sollen.","Miał całkowitą rację i niestety, powiedział więcej, niż powinien odpowiedzieć na te głosy.",1-1
43,"Aber die Liebe fände sie womöglich ausgerechnet doch unansehnlich, zischelten die Stimmen, es habe ja einen Grund, sagten sie, dass die Wahrheit so lange verborgen wurde.","Ale miłość mogła wydać jej się brzydka, szeptały głosy, przecież był jakiś powód, mówiły one, aby prawda była tak długo ukrywana.",1-1
44,"""Feigheit war das"", sagte der Optiker und schob die Ledertasche auf die andere Hüfte, weil das Rempeln der Tasche und das Rempeln der Stimmen langsam begannen wehzutun.","""To tchórzostwo""powiedział optyk i przesunął skórzaną torbę na drugie biodro; uderzenie torby oraz głosów zaczęło boleć.",1-1
45,"""Besonnenheit war das"", sagten die Stimmen, ""Angst ist ja manchmal doch ein guter Ratgeber"", sagten sie und summten die Titelmelodie der Vorabendserie.","""To rozwaga"", mówiły głosy,"" strach jest czasami dobrym doradcą"", mówiły one i nuciły tytułowy motyw z serialu telewizji wieczornej.",1-1
46,Der Optiker wurde jetzt langsamer.,Optyk teraz zwolnił tempo.,1-1
47,"Der Weg zu Selmas Haus, der eigentlich zehn Minuten dauerte, kam ihm plötzlich vor wie eine Tagesreise, eine Tagesreise mit sehr, sehr viel Gepäck.",Droga do domu Seli którą normalnie pokonywał w dziesięć minut wydawała mu się jak cała podróż jednodniowa; dzień pełen bagaży.,1-1
48,"Auch das Schwimmen hatten Selma und der Optiker uns beigebracht, sie hatten im Nichtschwimmerbecken gestanden, beide bis zum Bauchnabel im Wasser, Selma trug eine große violette Rüschen-Badehaube, die aussah wie eine Hortensie und die sie sich von Elsbeth geliehen hatte, damit Rudi Carrells Frisur nichts geschah.","Pływać nauczyli nas Selma i optyk. Stali w basenie dla niepływających, obydwoje po pępki w wodzie. Selma miała na głowie olbrzymią fioletową czapeczkę do pływania obszytą falbankami, podobną do hortensji, którą pożyczyła od Elsbeth, aby chronić fryzurę Rudi Carrela.",1-3
49,"Ich lag mit dem Bauch auf Selmas Händen, Martin auf den Händen des Optikers.","Leżałam brzuchem na dłoniach Selmy, a Martin na dłoniach optyka.",1-1
50,"""Wir lassen nicht los"", sagten Selma und der Optiker, und irgendwann: ""Wir lassen jetzt los"", und Martin und ich schwammen, erst zappelig und mit vor Panik und Stolz weit aufgerissenen Augen, dann immer sicherer.","""Nie puścimy was"", zapewniali nas Selma i optyk, a potem nagle: ""Puszczamy teraz"", i zaczęliśmy płynąć najpierw nerwowo zarzucając nogami i ze strachu oraz dumy rozszerzonymi szeroko oczami, potem coraz pewniej.",1-1
51,"Selma fiel dem Optiker jubelnd in die Arme, und dem Optiker traten die Tränen in die Augen.","Selma rzuciła się z radości w ramiona optyka, który miał łzy w oczach.",1-1
52,"Er ging an weiteren Häusern vorbei, Häusern voller verschwiegener Wahrheiten, die ans Licht wollten, und er fuhr jetzt alles auf, was er je an Sinnsprüchen über Mut gelesen hatte.","Szedł obok kolejnych budynków, pełnych skrywanych prawd, które chciały wyjść na światło dzienne, i teraz przywoływał wszystko, co kiedykolwiek przeczytał o odwadze.",1-1
53,Das war eine Menge.,To było sporo.,1-1
54,"Immer, wenn er mit Selma in die Kreisstadt fuhr, weil Selma ihren Wochenendeinkauf erledigen wollte, wartete der Optiker vor einem abgelegenen Geschenkideengeschäft auf sie, denn dort konnte man gut heimlich rauchen, dort wurde man von Selma bestimmt nicht erwischt, nirgends war man vor ihr so sicher wie vor einem Geschenkideengeschäft.","Zawsze kiedy jechał z Selmą do okręgowego miasta, bo Selma chciała zrobić zakupy na weekend, optyk czekał na nią przed oddaloną sklepem z pomysłami na prezenty. Tam można było bezpiecznie palić w ukryciu tam Selma napewno go nie złapie; nigdzie nie był tak bezpieczny jak przed tym sklepem.",1-2
55,"Während Selma einkaufte, hatte der Optiker mittlerweile den ganzen immerhin 96-fächrigen Postkartenständer vor dem Geschenkideengeschäft gelesen und vollgequalmt.","Podczas gdy Selma robiła zakupy, optyk stała już przeczytałą całą ławeczkę na 96 kartek pocztowych przed sklepem prezentów i pokryty dymem tytoniowym.",1-1
56,"Auf jeder Postkarte war eine Landschaft abgebildet, die mit der Kreisstadt nicht das Geringste zu tun hatte, nämlich eine mit Meer, Wasserfall oder Wüste, und dazu jeweils ein Sinnspruch, der mit dem Optiker nicht das Geringste zu tun hatte.","Każda pocztówka miała inne zdjęcie krajobrazowe nic wspólnego miał ze swoim małe miasteczkiem tylko morze,Wodospady albo pustynie . A także zawierało aforyzm który nie wiele miał wspólnego z Optykiem.",1-2
57,"Jetzt, da er merkte, dass die Stimmen immer kraftvoller und er immer kraftloser wurde, sagte er sich die Sprüche auf, laut und schon kurz vor Selmas Haus.",Natomiast teraz jak zauważyłeś że głosy stają się coraz mocniejsze a on jest coraz bardziej słaby zapamietywałe większość tych zdanie od początku do końca haut no tuż przed domem Szelmy.,1-1
58,"Wenn ich unten bei Selma schlief, erzählte sie mir am Bettrand Geschichten mit guten Enden.","Kiedy spałem na dole u Selmy, opowiadała mi przy łóżku historie z dobrymi zakończeniami.",1-1
59,"Als ich kleiner war, hatte ich nach den Geschichten immer ihr Handgelenk umfasst, meinen Daumen auf ihren Puls gelegt und mir vorgestellt, dass die ganze Welt alles im Rhythmus von Selmas Herzschlag tat.","Kiedy byłem młodszy, zawsze po tych opowieściach chwytałem jej nadgarstek, kładłem kciuk na jej pulsie i wyobrażałem sobie, że cały świat działa w rytmie bijącego serca Selmy.",1-1
60,"Ich stellte mir vor, wie der Optiker Linsen schliff, Martin ein Gewicht stemmte, Elsbeth ihre Hecke schnitt, wie der Einzelhändler Safttüten einräumte, meine Mutter Tannenzweige aufeinanderschichtete, mein Vater Rezepte stempelte, und alle taten das genau in Selmas Herzrhythmus.","Wyobrażałem sobie optyka szlifującego soczewki, Martina podnoszącego ciężar, Elsbeth przycinającą żywopłot, sprzedawcę układającego soki w sklepie spożywczym, moją matkę układającą gałązki sosny, mojego ojca stemplującego recepty wszyscy działali dokładnie w rytmie serca Selmy.",1-1
61,"Darüber war ich immer verlässlich eingeschlafen, aber jetzt, mit zehn Jahren, fand Selma, sei ich zu alt dafür.","To zawsze uspokajało mnie do snu, ale teraz, gdy skończyłem dziesięć lat, Selmie zdawało się to już nieodpowiednie.",1-1
